tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,clean_text,intent,escalation_decision
889418,AmazonHelp,False,Sat Oct 21 23:41:00 +0000 2017,"@331160 The account specialist is better suited to handle your account information, as we do not have access to your Amazon account. ^WM",889419,889417.0,"@331160 the account specialist is better suited to handle your account information, as we do not have access to your amazon account. ^wm",account_access,escalate
1102333,AmazonHelp,False,Sun Oct 15 07:33:23 +0000 2017,@380108 Sorry to know about the trouble you're facing with your account. Could you let us know if your account is on hold? ^AK,1102334,1102335.0,@380108 sorry to know about the trouble you're facing with your account. could you let us know if your account is on hold? ^ak,account_access,escalate
2578489,AmazonHelp,False,Thu Nov 16 21:56:00 +0000 2017,@731024 Can you tell us more about what's going on? Are you having trouble logging in to your account? ^RA,,2578490.0,@731024 can you tell us more about what's going on? are you having trouble logging in to your account? ^ra,account_access,escalate
421330,AmazonHelp,False,Tue Oct 10 14:47:00 +0000 2017,"@215399 Being a social media platform, we will not have access to your account details. ^KS 1/2",,421327.0,"@215399 being a social media platform, we will not have access to your account details. ^ks 1/2",account_access,escalate
889418,AmazonHelp,False,Sat Oct 21 23:41:00 +0000 2017,"@331160 The account specialist is better suited to handle your account information, as we do not have access to your Amazon account. ^WM",889419,889417.0,"@331160 the account specialist is better suited to handle your account information, as we do not have access to your amazon account. ^wm",account_access,escalate
432346,AmazonHelp,False,Tue Oct 10 16:01:00 +0000 2017,@206017 I understand your concern. We will not be able to access your account over twitter. (1/2) ^HD,"432347,432348",432343.0,@206017 i understand your concern. we will not be able to access your account over twitter. (1/2) ^hd,account_access,escalate
2578489,AmazonHelp,False,Thu Nov 16 21:56:00 +0000 2017,@731024 Can you tell us more about what's going on? Are you having trouble logging in to your account? ^RA,,2578490.0,@731024 can you tell us more about what's going on? are you having trouble logging in to your account? ^ra,account_access,escalate
2578489,AmazonHelp,False,Thu Nov 16 21:56:00 +0000 2017,@731024 Can you tell us more about what's going on? Are you having trouble logging in to your account? ^RA,,2578490.0,@731024 can you tell us more about what's going on? are you having trouble logging in to your account? ^ra,account_access,escalate
483053,AmazonHelp,False,Fri Dec 01 14:22:56 +0000 2017,"@229893 Hello, Jason! Have you received an email with instructions for unlocking your account? ^RO",483047,483054.0,"@229893 hello, jason! have you received an email with instructions for unlocking your account? ^ro",account_access,escalate
421330,AmazonHelp,False,Tue Oct 10 14:47:00 +0000 2017,"@215399 Being a social media platform, we will not have access to your account details. ^KS 1/2",,421327.0,"@215399 being a social media platform, we will not have access to your account details. ^ks 1/2",account_access,escalate
523420,AmazonHelp,False,Sat Dec 02 04:53:00 +0000 2017,"@240945 Hey, don't let the bank accounts, get you down! We got your back! ^HS",,523421.0,"@240945 hey, don't let the bank accounts, get you down! we got your back! ^hs",account_access,escalate
931573,AmazonHelp,False,Sat Oct 28 12:56:56 +0000 2017,"@340990 We certainly don't want you to feel this way, Madara! Without sharing account details, what's going on? ^AB",,931574.0,"@340990 we certainly don't want you to feel this way, madara! without sharing account details, what's going on? ^ab",account_access,escalate
539813,AmazonHelp,False,Sat Dec 02 14:58:00 +0000 2017,"@215812 I'm sorry for the poor experience. Without including any account details, can you tell us more about what's happened? We'd like to help from here! ^ZW",,539814.0,"@215812 i'm sorry for the poor experience. without including any account details, can you tell us more about what's happened? we'd like to help from here! ^zw",account_access,escalate
1075273,AmazonHelp,False,Thu Oct 26 01:56:41 +0000 2017,"@354052 We'll not be able to access your account over twitter, Sayantan. Please reply to the email. I'll get back to you. ^HD","1075274,1075275",1075272.0,"@354052 we'll not be able to access your account over twitter, sayantan. please reply to the email. i'll get back to you. ^hd",account_access,escalate
931573,AmazonHelp,False,Sat Oct 28 12:56:56 +0000 2017,"@340990 We certainly don't want you to feel this way, Madara! Without sharing account details, what's going on? ^AB",,931574.0,"@340990 we certainly don't want you to feel this way, madara! without sharing account details, what's going on? ^ab",account_access,escalate
1074607,AmazonHelp,False,Sun Oct 15 00:28:31 +0000 2017,"@373547 I'm sorry for the frustration. Without providing any account details, will you tell us more about what's going on? ^KB","1074608,1074609",1074610.0,"@373547 i'm sorry for the frustration. without providing any account details, will you tell us more about what's going on? ^kb",account_access,escalate
539813,AmazonHelp,False,Sat Dec 02 14:58:00 +0000 2017,"@215812 I'm sorry for the poor experience. Without including any account details, can you tell us more about what's happened? We'd like to help from here! ^ZW",,539814.0,"@215812 i'm sorry for the poor experience. without including any account details, can you tell us more about what's happened? we'd like to help from here! ^zw",account_access,escalate
539813,AmazonHelp,False,Sat Dec 02 14:58:00 +0000 2017,"@215812 I'm sorry for the poor experience. Without including any account details, can you tell us more about what's happened? We'd like to help from here! ^ZW",,539814.0,"@215812 i'm sorry for the poor experience. without including any account details, can you tell us more about what's happened? we'd like to help from here! ^zw",account_access,escalate
989791,AmazonHelp,False,Sat Nov 25 11:02:51 +0000 2017,"@354471 Hi. I'm very sorry to learn of your poor experiences. As we don't have access to account info here, we would ask you to get in touch - https://t.co/JzP7hlA23B so we can look into your concern in more detail. ^TP",989792,989793.0,"@354471 hi. i'm very sorry to learn of your poor experiences. as we don't have access to account info here, we would ask you to get in touch -  so we can look into your concern in more detail. ^tp",account_access,escalate
1197537,AmazonHelp,False,Wed Oct 25 03:42:37 +0000 2017,@401372 Please reach us via: https://t.co/vlvfJr4nN9 &gt; login to your Amazon.in account or select Skip Signin &gt; (1/3) ^VM,,1197533.0,@401372 please reach us via:  &gt; login to your amazon.in account or select skip signin &gt; (1/3) ^vm,account_access,escalate
2310279,AmazonHelp,False,Mon Nov 13 04:26:25 +0000 2017,"@616844 I'm sorry for the trouble accessing your account. When you have a moment, please reach out to us here: https://t.co/B66jrrR39c ^CL",2310280,2310281.0,"@616844 i'm sorry for the trouble accessing your account. when you have a moment, please reach out to us here:  ^cl",account_access,escalate
1102333,AmazonHelp,False,Sun Oct 15 07:33:23 +0000 2017,@380108 Sorry to know about the trouble you're facing with your account. Could you let us know if your account is on hold? ^AK,1102334,1102335.0,@380108 sorry to know about the trouble you're facing with your account. could you let us know if your account is on hold? ^ak,account_access,escalate
1102333,AmazonHelp,False,Sun Oct 15 07:33:23 +0000 2017,@380108 Sorry to know about the trouble you're facing with your account. Could you let us know if your account is on hold? ^AK,1102334,1102335.0,@380108 sorry to know about the trouble you're facing with your account. could you let us know if your account is on hold? ^ak,account_access,escalate
432346,AmazonHelp,False,Tue Oct 10 16:01:00 +0000 2017,@206017 I understand your concern. We will not be able to access your account over twitter. (1/2) ^HD,"432347,432348",432343.0,@206017 i understand your concern. we will not be able to access your account over twitter. (1/2) ^hd,account_access,escalate
539813,AmazonHelp,False,Sat Dec 02 14:58:00 +0000 2017,"@215812 I'm sorry for the poor experience. Without including any account details, can you tell us more about what's happened? We'd like to help from here! ^ZW",,539814.0,"@215812 i'm sorry for the poor experience. without including any account details, can you tell us more about what's happened? we'd like to help from here! ^zw",account_access,escalate
523420,AmazonHelp,False,Sat Dec 02 04:53:00 +0000 2017,"@240945 Hey, don't let the bank accounts, get you down! We got your back! ^HS",,523421.0,"@240945 hey, don't let the bank accounts, get you down! we got your back! ^hs",account_access,escalate
727380,AmazonHelp,False,Wed Oct 11 06:44:28 +0000 2017,@294247 Hi Katy- Sorry to hear about your account. Can you report this to us directly via:https://t.co/y1k4sjkBTh Thank you ^NV,,727381.0,@294247 hi katy- sorry to hear about your account. can you report this to us directly via: thank you ^nv,account_access,escalate
432346,AmazonHelp,False,Tue Oct 10 16:01:00 +0000 2017,@206017 I understand your concern. We will not be able to access your account over twitter. (1/2) ^HD,"432347,432348",432343.0,@206017 i understand your concern. we will not be able to access your account over twitter. (1/2) ^hd,account_access,escalate
889418,AmazonHelp,False,Sat Oct 21 23:41:00 +0000 2017,"@331160 The account specialist is better suited to handle your account information, as we do not have access to your Amazon account. ^WM",889419,889417.0,"@331160 the account specialist is better suited to handle your account information, as we do not have access to your amazon account. ^wm",account_access,escalate
234827,AmazonHelp,False,Thu Oct 05 13:17:36 +0000 2017,"@171913 Very sorry to hear this.If you were charged twice, this must have occurred on different accounts. Have you reached out to us?^CR",234828,234829.0,"@171913 very sorry to hear this.if you were charged twice, this must have occurred on different accounts. have you reached out to us?^cr",account_access,escalate
889418,AmazonHelp,False,Sat Oct 21 23:41:00 +0000 2017,"@331160 The account specialist is better suited to handle your account information, as we do not have access to your Amazon account. ^WM",889419,889417.0,"@331160 the account specialist is better suited to handle your account information, as we do not have access to your amazon account. ^wm",account_access,escalate
2061569,AmazonHelp,False,Sun Nov 26 12:09:31 +0000 2017,"@609702 I know this situation is stressful. It isn't that our representatives don't want to help you, they can't. Only our account specialist can review the information and assist you. It may take some time, but they will be in touch. Keep us posted! ^DA",2061570,2061571.0,"@609702 i know this situation is stressful. it isn't that our representatives don't want to help you, they can't. only our account specialist can review the information and assist you. it may take some time, but they will be in touch. keep us posted! ^da",account_access,escalate
483053,AmazonHelp,False,Fri Dec 01 14:22:56 +0000 2017,"@229893 Hello, Jason! Have you received an email with instructions for unlocking your account? ^RO",483047,483054.0,"@229893 hello, jason! have you received an email with instructions for unlocking your account? ^ro",account_access,escalate
528301,AmazonHelp,False,Sat Dec 02 16:06:52 +0000 2017,"@242309 As we do not have account access, we would be unable to assist with order details even if you provide us that information. Please reach out to us here: https://t.co/JzP7hlA23B so we may further assist. ^RO",,528297.0,"@242309 as we do not have account access, we would be unable to assist with order details even if you provide us that information. please reach out to us here:  so we may further assist. ^ro",account_access,escalate
2061569,AmazonHelp,False,Sun Nov 26 12:09:31 +0000 2017,"@609702 I know this situation is stressful. It isn't that our representatives don't want to help you, they can't. Only our account specialist can review the information and assist you. It may take some time, but they will be in touch. Keep us posted! ^DA",2061570,2061571.0,"@609702 i know this situation is stressful. it isn't that our representatives don't want to help you, they can't. only our account specialist can review the information and assist you. it may take some time, but they will be in touch. keep us posted! ^da",account_access,escalate
234827,AmazonHelp,False,Thu Oct 05 13:17:36 +0000 2017,"@171913 Very sorry to hear this.If you were charged twice, this must have occurred on different accounts. Have you reached out to us?^CR",234828,234829.0,"@171913 very sorry to hear this.if you were charged twice, this must have occurred on different accounts. have you reached out to us?^cr",account_access,escalate
931573,AmazonHelp,False,Sat Oct 28 12:56:56 +0000 2017,"@340990 We certainly don't want you to feel this way, Madara! Without sharing account details, what's going on? ^AB",,931574.0,"@340990 we certainly don't want you to feel this way, madara! without sharing account details, what's going on? ^ab",account_access,escalate
1102333,AmazonHelp,False,Sun Oct 15 07:33:23 +0000 2017,@380108 Sorry to know about the trouble you're facing with your account. Could you let us know if your account is on hold? ^AK,1102334,1102335.0,@380108 sorry to know about the trouble you're facing with your account. could you let us know if your account is on hold? ^ak,account_access,escalate
889418,AmazonHelp,False,Sat Oct 21 23:41:00 +0000 2017,"@331160 The account specialist is better suited to handle your account information, as we do not have access to your Amazon account. ^WM",889419,889417.0,"@331160 the account specialist is better suited to handle your account information, as we do not have access to your amazon account. ^wm",account_access,escalate
539813,AmazonHelp,False,Sat Dec 02 14:58:00 +0000 2017,"@215812 I'm sorry for the poor experience. Without including any account details, can you tell us more about what's happened? We'd like to help from here! ^ZW",,539814.0,"@215812 i'm sorry for the poor experience. without including any account details, can you tell us more about what's happened? we'd like to help from here! ^zw",account_access,escalate
421330,AmazonHelp,False,Tue Oct 10 14:47:00 +0000 2017,"@215399 Being a social media platform, we will not have access to your account details. ^KS 1/2",,421327.0,"@215399 being a social media platform, we will not have access to your account details. ^ks 1/2",account_access,escalate
1102333,AmazonHelp,False,Sun Oct 15 07:33:23 +0000 2017,@380108 Sorry to know about the trouble you're facing with your account. Could you let us know if your account is on hold? ^AK,1102334,1102335.0,@380108 sorry to know about the trouble you're facing with your account. could you let us know if your account is on hold? ^ak,account_access,escalate
523420,AmazonHelp,False,Sat Dec 02 04:53:00 +0000 2017,"@240945 Hey, don't let the bank accounts, get you down! We got your back! ^HS",,523421.0,"@240945 hey, don't let the bank accounts, get you down! we got your back! ^hs",account_access,escalate
528301,AmazonHelp,False,Sat Dec 02 16:06:52 +0000 2017,"@242309 As we do not have account access, we would be unable to assist with order details even if you provide us that information. Please reach out to us here: https://t.co/JzP7hlA23B so we may further assist. ^RO",,528297.0,"@242309 as we do not have account access, we would be unable to assist with order details even if you provide us that information. please reach out to us here:  so we may further assist. ^ro",account_access,escalate
989791,AmazonHelp,False,Sat Nov 25 11:02:51 +0000 2017,"@354471 Hi. I'm very sorry to learn of your poor experiences. As we don't have access to account info here, we would ask you to get in touch - https://t.co/JzP7hlA23B so we can look into your concern in more detail. ^TP",989792,989793.0,"@354471 hi. i'm very sorry to learn of your poor experiences. as we don't have access to account info here, we would ask you to get in touch -  so we can look into your concern in more detail. ^tp",account_access,escalate
483053,AmazonHelp,False,Fri Dec 01 14:22:56 +0000 2017,"@229893 Hello, Jason! Have you received an email with instructions for unlocking your account? ^RO",483047,483054.0,"@229893 hello, jason! have you received an email with instructions for unlocking your account? ^ro",account_access,escalate
2061569,AmazonHelp,False,Sun Nov 26 12:09:31 +0000 2017,"@609702 I know this situation is stressful. It isn't that our representatives don't want to help you, they can't. Only our account specialist can review the information and assist you. It may take some time, but they will be in touch. Keep us posted! ^DA",2061570,2061571.0,"@609702 i know this situation is stressful. it isn't that our representatives don't want to help you, they can't. only our account specialist can review the information and assist you. it may take some time, but they will be in touch. keep us posted! ^da",account_access,escalate
421330,AmazonHelp,False,Tue Oct 10 14:47:00 +0000 2017,"@215399 Being a social media platform, we will not have access to your account details. ^KS 1/2",,421327.0,"@215399 being a social media platform, we will not have access to your account details. ^ks 1/2",account_access,escalate
483053,AmazonHelp,False,Fri Dec 01 14:22:56 +0000 2017,"@229893 Hello, Jason! Have you received an email with instructions for unlocking your account? ^RO",483047,483054.0,"@229893 hello, jason! have you received an email with instructions for unlocking your account? ^ro",account_access,escalate
931573,AmazonHelp,False,Sat Oct 28 12:56:56 +0000 2017,"@340990 We certainly don't want you to feel this way, Madara! Without sharing account details, what's going on? ^AB",,931574.0,"@340990 we certainly don't want you to feel this way, madara! without sharing account details, what's going on? ^ab",account_access,escalate
1075273,AmazonHelp,False,Thu Oct 26 01:56:41 +0000 2017,"@354052 We'll not be able to access your account over twitter, Sayantan. Please reply to the email. I'll get back to you. ^HD","1075274,1075275",1075272.0,"@354052 we'll not be able to access your account over twitter, sayantan. please reply to the email. i'll get back to you. ^hd",account_access,escalate
1197537,AmazonHelp,False,Wed Oct 25 03:42:37 +0000 2017,@401372 Please reach us via: https://t.co/vlvfJr4nN9 &gt; login to your Amazon.in account or select Skip Signin &gt; (1/3) ^VM,,1197533.0,@401372 please reach us via:  &gt; login to your amazon.in account or select skip signin &gt; (1/3) ^vm,account_access,escalate
483053,AmazonHelp,False,Fri Dec 01 14:22:56 +0000 2017,"@229893 Hello, Jason! Have you received an email with instructions for unlocking your account? ^RO",483047,483054.0,"@229893 hello, jason! have you received an email with instructions for unlocking your account? ^ro",account_access,escalate
2061569,AmazonHelp,False,Sun Nov 26 12:09:31 +0000 2017,"@609702 I know this situation is stressful. It isn't that our representatives don't want to help you, they can't. Only our account specialist can review the information and assist you. It may take some time, but they will be in touch. Keep us posted! ^DA",2061570,2061571.0,"@609702 i know this situation is stressful. it isn't that our representatives don't want to help you, they can't. only our account specialist can review the information and assist you. it may take some time, but they will be in touch. keep us posted! ^da",account_access,escalate
539813,AmazonHelp,False,Sat Dec 02 14:58:00 +0000 2017,"@215812 I'm sorry for the poor experience. Without including any account details, can you tell us more about what's happened? We'd like to help from here! ^ZW",,539814.0,"@215812 i'm sorry for the poor experience. without including any account details, can you tell us more about what's happened? we'd like to help from here! ^zw",account_access,escalate
931573,AmazonHelp,False,Sat Oct 28 12:56:56 +0000 2017,"@340990 We certainly don't want you to feel this way, Madara! Without sharing account details, what's going on? ^AB",,931574.0,"@340990 we certainly don't want you to feel this way, madara! without sharing account details, what's going on? ^ab",account_access,escalate
1197537,AmazonHelp,False,Wed Oct 25 03:42:37 +0000 2017,@401372 Please reach us via: https://t.co/vlvfJr4nN9 &gt; login to your Amazon.in account or select Skip Signin &gt; (1/3) ^VM,,1197533.0,@401372 please reach us via:  &gt; login to your amazon.in account or select skip signin &gt; (1/3) ^vm,account_access,escalate
483053,AmazonHelp,False,Fri Dec 01 14:22:56 +0000 2017,"@229893 Hello, Jason! Have you received an email with instructions for unlocking your account? ^RO",483047,483054.0,"@229893 hello, jason! have you received an email with instructions for unlocking your account? ^ro",account_access,escalate
528301,AmazonHelp,False,Sat Dec 02 16:06:52 +0000 2017,"@242309 As we do not have account access, we would be unable to assist with order details even if you provide us that information. Please reach out to us here: https://t.co/JzP7hlA23B so we may further assist. ^RO",,528297.0,"@242309 as we do not have account access, we would be unable to assist with order details even if you provide us that information. please reach out to us here:  so we may further assist. ^ro",account_access,escalate
2310279,AmazonHelp,False,Mon Nov 13 04:26:25 +0000 2017,"@616844 I'm sorry for the trouble accessing your account. When you have a moment, please reach out to us here: https://t.co/B66jrrR39c ^CL",2310280,2310281.0,"@616844 i'm sorry for the trouble accessing your account. when you have a moment, please reach out to us here:  ^cl",account_access,escalate
1102333,AmazonHelp,False,Sun Oct 15 07:33:23 +0000 2017,@380108 Sorry to know about the trouble you're facing with your account. Could you let us know if your account is on hold? ^AK,1102334,1102335.0,@380108 sorry to know about the trouble you're facing with your account. could you let us know if your account is on hold? ^ak,account_access,escalate
421330,AmazonHelp,False,Tue Oct 10 14:47:00 +0000 2017,"@215399 Being a social media platform, we will not have access to your account details. ^KS 1/2",,421327.0,"@215399 being a social media platform, we will not have access to your account details. ^ks 1/2",account_access,escalate
528301,AmazonHelp,False,Sat Dec 02 16:06:52 +0000 2017,"@242309 As we do not have account access, we would be unable to assist with order details even if you provide us that information. Please reach out to us here: https://t.co/JzP7hlA23B so we may further assist. ^RO",,528297.0,"@242309 as we do not have account access, we would be unable to assist with order details even if you provide us that information. please reach out to us here:  so we may further assist. ^ro",account_access,escalate
421330,AmazonHelp,False,Tue Oct 10 14:47:00 +0000 2017,"@215399 Being a social media platform, we will not have access to your account details. ^KS 1/2",,421327.0,"@215399 being a social media platform, we will not have access to your account details. ^ks 1/2",account_access,escalate
2310279,AmazonHelp,False,Mon Nov 13 04:26:25 +0000 2017,"@616844 I'm sorry for the trouble accessing your account. When you have a moment, please reach out to us here: https://t.co/B66jrrR39c ^CL",2310280,2310281.0,"@616844 i'm sorry for the trouble accessing your account. when you have a moment, please reach out to us here:  ^cl",account_access,escalate
2599756,AmazonHelp,False,Fri Nov 17 06:21:23 +0000 2017,"@735956 Being a social platform we'll not have general access to your account, a call/email/chat is required to gain access. You may call us here: https://t.co/vlvfJr4nN9 for any assistance. ^MJ",,2599755.0,"@735956 being a social platform we'll not have general access to your account, a call/email/chat is required to gain access. you may call us here:  for any assistance. ^mj",account_access,escalate
2061569,AmazonHelp,False,Sun Nov 26 12:09:31 +0000 2017,"@609702 I know this situation is stressful. It isn't that our representatives don't want to help you, they can't. Only our account specialist can review the information and assist you. It may take some time, but they will be in touch. Keep us posted! ^DA",2061570,2061571.0,"@609702 i know this situation is stressful. it isn't that our representatives don't want to help you, they can't. only our account specialist can review the information and assist you. it may take some time, but they will be in touch. keep us posted! ^da",account_access,escalate
1102333,AmazonHelp,False,Sun Oct 15 07:33:23 +0000 2017,@380108 Sorry to know about the trouble you're facing with your account. Could you let us know if your account is on hold? ^AK,1102334,1102335.0,@380108 sorry to know about the trouble you're facing with your account. could you let us know if your account is on hold? ^ak,account_access,escalate
2599756,AmazonHelp,False,Fri Nov 17 06:21:23 +0000 2017,"@735956 Being a social platform we'll not have general access to your account, a call/email/chat is required to gain access. You may call us here: https://t.co/vlvfJr4nN9 for any assistance. ^MJ",,2599755.0,"@735956 being a social platform we'll not have general access to your account, a call/email/chat is required to gain access. you may call us here:  for any assistance. ^mj",account_access,escalate
234827,AmazonHelp,False,Thu Oct 05 13:17:36 +0000 2017,"@171913 Very sorry to hear this.If you were charged twice, this must have occurred on different accounts. Have you reached out to us?^CR",234828,234829.0,"@171913 very sorry to hear this.if you were charged twice, this must have occurred on different accounts. have you reached out to us?^cr",account_access,escalate
1102333,AmazonHelp,False,Sun Oct 15 07:33:23 +0000 2017,@380108 Sorry to know about the trouble you're facing with your account. Could you let us know if your account is on hold? ^AK,1102334,1102335.0,@380108 sorry to know about the trouble you're facing with your account. could you let us know if your account is on hold? ^ak,account_access,escalate
2599756,AmazonHelp,False,Fri Nov 17 06:21:23 +0000 2017,"@735956 Being a social platform we'll not have general access to your account, a call/email/chat is required to gain access. You may call us here: https://t.co/vlvfJr4nN9 for any assistance. ^MJ",,2599755.0,"@735956 being a social platform we'll not have general access to your account, a call/email/chat is required to gain access. you may call us here:  for any assistance. ^mj",account_access,escalate
