text,intent_true,intent_pred,escalation_true,escalation_pred,reply_x,scores,reply_y
"@331160 the account specialist is better suited to handle your account information, as we do not have access to your amazon account. ^wm",account_access,account_access,escalate,escalate,We’ve escalated your issue to our support team. They’ll follow up with you shortly. Thank you for your patience.,"{'politeness': 0.25, 'conciseness': 1.0, 'brand_tone': 0.25}",We’ve escalated your issue to our support team. They’ll follow up with you shortly. Thank you for your patience.
"@331160 the account specialist is better suited to handle your account information, as we do not have access to your amazon account. ^wm",account_access,account_access,escalate,escalate,We’ve escalated your issue to our support team. They’ll follow up with you shortly. Thank you for your patience.,"{'politeness': 0.25, 'conciseness': 1.0, 'brand_tone': 0.25}",We’ve escalated your issue to our support team. They’ll follow up with you shortly. Thank you for your patience.
"@331160 the account specialist is better suited to handle your account information, as we do not have access to your amazon account. ^wm",account_access,account_access,escalate,escalate,We’ve escalated your issue to our support team. They’ll follow up with you shortly. Thank you for your patience.,"{'politeness': 0.25, 'conciseness': 1.0, 'brand_tone': 0.25}",We’ve escalated your issue to our support team. They’ll follow up with you shortly. Thank you for your patience.
"@331160 the account specialist is better suited to handle your account information, as we do not have access to your amazon account. ^wm",account_access,account_access,escalate,escalate,We’ve escalated your issue to our support team. They’ll follow up with you shortly. Thank you for your patience.,"{'politeness': 0.25, 'conciseness': 1.0, 'brand_tone': 0.25}",We’ve escalated your issue to our support team. They’ll follow up with you shortly. Thank you for your patience.
"@331160 the account specialist is better suited to handle your account information, as we do not have access to your amazon account. ^wm",account_access,account_access,escalate,escalate,We’ve escalated your issue to our support team. They’ll follow up with you shortly. Thank you for your patience.,"{'politeness': 0.25, 'conciseness': 1.0, 'brand_tone': 0.25}",We’ve escalated your issue to our support team. They’ll follow up with you shortly. Thank you for your patience.
"@331160 the account specialist is better suited to handle your account information, as we do not have access to your amazon account. ^wm",account_access,account_access,escalate,escalate,We’ve escalated your issue to our support team. They’ll follow up with you shortly. Thank you for your patience.,"{'politeness': 0.25, 'conciseness': 1.0, 'brand_tone': 0.25}",We’ve escalated your issue to our support team. They’ll follow up with you shortly. Thank you for your patience.
"@331160 the account specialist is better suited to handle your account information, as we do not have access to your amazon account. ^wm",account_access,account_access,escalate,escalate,We’ve escalated your issue to our support team. They’ll follow up with you shortly. Thank you for your patience.,"{'politeness': 0.25, 'conciseness': 1.0, 'brand_tone': 0.25}",We’ve escalated your issue to our support team. They’ll follow up with you shortly. Thank you for your patience.
"@331160 the account specialist is better suited to handle your account information, as we do not have access to your amazon account. ^wm",account_access,account_access,escalate,escalate,We’ve escalated your issue to our support team. They’ll follow up with you shortly. Thank you for your patience.,"{'politeness': 0.25, 'conciseness': 1.0, 'brand_tone': 0.25}",We’ve escalated your issue to our support team. They’ll follow up with you shortly. Thank you for your patience.
"@331160 the account specialist is better suited to handle your account information, as we do not have access to your amazon account. ^wm",account_access,account_access,escalate,escalate,We’ve escalated your issue to our support team. They’ll follow up with you shortly. Thank you for your patience.,"{'politeness': 0.25, 'conciseness': 1.0, 'brand_tone': 0.25}",We’ve escalated your issue to our support team. They’ll follow up with you shortly. Thank you for your patience.
"@331160 the account specialist is better suited to handle your account information, as we do not have access to your amazon account. ^wm",account_access,account_access,escalate,escalate,We’ve escalated your issue to our support team. They’ll follow up with you shortly. Thank you for your patience.,"{'politeness': 0.25, 'conciseness': 1.0, 'brand_tone': 0.25}",We’ve escalated your issue to our support team. They’ll follow up with you shortly. Thank you for your patience.
"@331160 the account specialist is better suited to handle your account information, as we do not have access to your amazon account. ^wm",account_access,account_access,escalate,escalate,We’ve escalated your issue to our support team. They’ll follow up with you shortly. Thank you for your patience.,"{'politeness': 0.25, 'conciseness': 1.0, 'brand_tone': 0.25}",We’ve escalated your issue to our support team. They’ll follow up with you shortly. Thank you for your patience.
"@331160 the account specialist is better suited to handle your account information, as we do not have access to your amazon account. ^wm",account_access,account_access,escalate,escalate,We’ve escalated your issue to our support team. They’ll follow up with you shortly. Thank you for your patience.,"{'politeness': 0.25, 'conciseness': 1.0, 'brand_tone': 0.25}",We’ve escalated your issue to our support team. They’ll follow up with you shortly. Thank you for your patience.
